id;type;message
1;1;Tu rends chaque journée plus douce.
2;1;Ton sourire pourrait éclairer un village entier.
3;1;Tu es l’équivalent humain d’un câlin.
4;1;Tu rends la vie plus belle rien qu’en existant.
5;1;Tu es une petite boule de soleil.
6;1;Tu apportes de la magie partout où tu vas.
7;1;Tu fais fondre les cœurs sans même essayer.
8;1;Ta gentillesse devrait être brevetée.
9;1;On devrait t’appeler “wow” tellement tu impressionnes.
10;1;Tu as un talent incroyable pour rendre les gens heureux.
11;1;Ta présence rend tout plus léger.
12;1;Si la douceur était une personne, ce serait toi
13;1;Tu rends les choses compliquées beaucoup plus simples.
14;1;Tu es comme un rayon de soleil après la pluie.
15;1;Tu es une personne extraordinairement adorable.
16;1;Ton existence rend le monde plus doux.
17;1;Ta joie est contagieuse.
18;1;Tu transformes les moments ordinaires en souvenirs précieux.
19;1;Tu es comme une petite lumière qui ne s’éteint jamais.
20;1;Tu apportes de la couleur même aux journées grises.
21;1;On devrait te cloner pour rendre le monde meilleur.
22;1;Quand tu es là tout devient plus agréable.
23;1;Tu es une version rare et précieuse de l’humanité.
24;1;Tu dégages une douceur incroyable.
25;1;Tu es un petit trésor du quotidien.
26;1;Ta bonté pourrait guérir des montagnes.
27;1;Ta présence est comme un chocolat chaud en hiver.
28;1;Tu as un cœur qui mérite une médaille.
29;1;Tu es la définition du réconfort.
30;1;Tu fais ressortir le meilleur chez les autres.
31;1;Tu es une poésie qui marche.
32;1;Tu es incroyablement touchant(e).
33;1;Ta façon d’être embellit chaque moment.
34;1;Tu es aussi adorable qu’un chaton.
35;1;Tu as un charme naturel qui apaise.
36;1;Tu es la douceur incarnée.
37;1;Tu es une source de calme.
38;1;Tu es comme une petite étoile qui brille tout le temps.
39;1;Tu fais sourire les gens sans le savoir.
40;1;Tu es une belle personne dans tous les sens du terme.
41;1;Tu rends les journées ordinaires extraordinaires.
42;1;Tu as une lumière intérieure incroyable.
43;1;Tu es un petit miracle du quotidien.
44;1;Tu donnes envie d’être meilleur.
45;1;Tu es mignon(ne) même sans faire d’efforts.
46;1;Tu es comme un caramel qui fond dans le cœur.
47;1;Tu es d’une douceur incomparable.
48;1;Ta gentillesse brille de mille feux.
49;1;Tu es un arc-en-ciel déguisé en humain.
50;1;Tu es le genre de personne qu’on a envie de protéger.
51;1;Tu as un cœur en or.
52;1;Tu as une énergie chaleureuse.
53;1;Tu es inspirant(e) même sans parler.
54;1;Tu fais ressortir la beauté de la simplicité.
55;1;Tu es un petit bonheur ambulant.
56;1;Tu as un rire qui soigne les âmes.
57;1;Tu es la preuve que la douceur existe vraiment.
58;1;Tu es un nuage moelleux de gentillesse.
59;1;Tu pourrais apprivoiser un dragon juste avec ta gentillesse.
60;1;Tu es une petite merveille.
